subject,phase,trial_global,block_type_raw,condition_raw,resp_raw,acc_raw,onset_abs_raw,keypress_abs_raw,rt_raw,block_type_proc,condition_proc,acc_proc,rt_proc,_merge,diff_ms,mismatch_reason
S001,1.0,34,正式,Congruent,b,1.0,244.11550100002205,244.89897079998627,0.7834697999642231,正式,Congruent,1.0,0.7834697999642231,both,0.0,
S001,1.0,35,正式,Congruent,y,1.0,250.1168310000212,250.78613329998916,0.669302299967967,正式,Congruent,1.0,0.669302299967967,both,0.0,
S001,1.0,36,正式,Congruent,y,1.0,256.1184838999761,256.820983099984,0.7024992000078782,正式,Congruent,1.0,0.7024992000078782,both,0.0,
S001,1.0,37,正式,Congruent,y,1.0,262.120065599971,262.8553734999732,0.7353079000022262,正式,Congruent,1.0,0.7353079000022262,both,0.0,
S001,1.0,38,正式,Congruent,b,1.0,268.1219876999967,268.9081808999763,0.786193199979607,正式,Congruent,1.0,0.786193199979607,both,0.0,
S001,1.0,39,正式,Congruent,b,1.0,274.12322680000216,274.7424236999941,0.6191968999919482,正式,Congruent,1.0,0.6191968999919482,both,0.0,
S001,1.0,40,正式,Congruent,b,0.0,280.1253934999695,280.9110522000119,0.7856587000424042,正式,Congruent,0.0,0.7856587000424042,both,0.0,
S001,1.0,41,正式,Congruent,b,1.0,296.1134191000019,296.9165144999861,0.8030953999841586,正式,Congruent,1.0,0.8030953999841586,both,0.0,
S001,1.0,42,正式,Congruent,b,1.0,302.1155579999904,303.03313080000225,0.9175728000118396,正式,Congruent,1.0,0.9175728000118396,both,0.0,
S001,1.0,43,正式,Congruent,y,1.0,308.11646889999975,309.26926410000306,1.152795200003311,正式,Congruent,1.0,1.152795200003311,both,0.0,
S001,1.0,44,正式,Congruent,y,1.0,314.11807009996846,314.8857081999886,0.7676381000201218,正式,Congruent,1.0,0.7676381000201218,both,0.0,
S001,1.0,45,正式,Congruent,b,0.0,320.1191662999918,320.80378409998957,0.6846177999977954,正式,Congruent,0.0,0.6846177999977954,both,0.0,
S001,1.0,46,正式,Congruent,b,1.0,326.12071069999365,326.89031210000394,0.7696014000102878,正式,Congruent,1.0,0.7696014000102878,both,0.0,
S001,1.0,47,正式,Congruent,b,1.0,332.1222818000242,332.85801189998165,0.7357300999574363,正式,Congruent,1.0,0.7357300999574363,both,0.0,
S001,1.0,48,正式,Congruent,b,1.0,338.12420949997613,339.1768521000049,1.0526426000287756,正式,Congruent,1.0,1.0526426000287756,both,0.0,
S001,1.0,49,正式,Congruent,b,1.0,344.12595640000654,344.97790509997867,0.8519486999721266,正式,Congruent,1.0,0.8519486999721266,both,0.0,
S001,1.0,50,正式,Congruent,b,1.0,350.1120767000248,350.88032579998253,0.7682490999577567,正式,Congruent,1.0,0.7682490999577567,both,0.0,
S001,1.0,51,正式,Congruent,b,1.0,366.1150208999752,366.88349979999475,0.7684789000195451,正式,Congruent,1.0,0.7684789000195451,both,0.0,
S001,1.0,52,正式,Congruent,b,1.0,372.116587699973,372.9194349999889,0.8028473000158556,正式,Congruent,1.0,0.8028473000158556,both,0.0,
