subject,phase,block_type,trial_global,trial_block,condition,event,stim_class,stim,resp,rt,acc,err,all_keys,onset_abs,onset_total,onset_r1,onset_r2,target_onset_block,drift
S004,2,正式,96,26,Incongruent,,Straight 圖片,Gemini_Generated_Image_wm069wm069wm069w.png,y,0.9679082999937236,1,None,y:0.968,770.7580727000022,774.76,774.76,260.11,770.7503185999813,0.008450900029856712
S004,2,正式,97,27,Incongruent,,Gay 圖片,Gemini_Generated_Image_k0lbsdk0lbsdk0lb (2).png,b,1.2178596000303514,1,None,b:1.218,776.7594085999881,780.76,780.76,266.11,776.7503185999813,0.009564800013322383
S004,2,正式,98,28,Incongruent,,Gay 圖片,Gemini_Generated_Image_7bk6mm7bk6mm7bk6.png,b,1.2175141000188887,1,None,b:1.218,782.7618446999695,786.76,786.76,272.11,782.7503185999813,0.012294100015424192
S004,2,正式,99,29,Incongruent,,Straight 圖片,Gemini_Generated_Image_63bzk963bzk963bz.png,y,0.8856370000285096,1,None,y:0.886,788.7625706999679,792.76,792.76,278.12,788.7503185999813,0.013818800041917711
S004,2,正式,100,30,Incongruent,,Straight 圖片,ChatGPT Image 2025年11月16日 下午10_10_59.png,y,0.9675449000205845,1,None,y:0.968,794.7649661999894,798.77,798.77,284.12,794.7503185999813,0.015519000007770956
S004,2,正式,101,31,Incongruent,,Gay 圖片,Gemini_Generated_Image_atjalatjalatjala.png,b,0.9680700000026263,1,None,b:0.968,810.7522738999687,814.75,814.75,300.11,810.7503185999813,0.0029273999971337616
S004,2,正式,102,32,Incongruent,,低 負向 文字,憂愁,y,1.2022836999967694,1,None,y:1.202,816.7533455999801,820.75,820.75,306.11,816.7503185999813,0.004239400033839047
S004,2,正式,103,33,Incongruent,,高 正向 文字,欣喜,b,1.102307299966924,1,None,b:1.102,822.7554275000002,826.76,826.76,312.11,822.7503185999813,0.006136100040748715
S004,2,正式,104,34,Incongruent,,高 負向 文字,恐懼,y,1.2845059999963269,1,None,y:1.285,828.7567633999861,832.76,832.76,318.11,828.7503185999813,0.00749250000808388
S004,2,正式,105,35,Incongruent,,高 正向 文字,興奮,b,1.3017495999811217,1,None,b:1.302,834.7585752999876,838.76,838.76,324.11,834.7503185999813,0.010221000004094094
S004,2,正式,106,36,Incongruent,,低 負向 文字,累,y,1.2696399999549612,1,None,y:1.270,840.7603064000141,844.76,844.76,330.11,840.7503185999813,0.011529600014910102
S004,2,正式,107,37,Incongruent,,Straight 圖片,Gemini_Generated_Image_n96fypn96fypn96f.png,y,0.7343225000076927,1,None,y:0.734,846.7619953000103,850.76,850.76,336.11,846.7503185999813,0.01227370003471151
S004,2,正式,108,38,Incongruent,,Gay 圖片,Gemini_Generated_Image_atjalatjalatjala.png,b,0.8357605999917723,1,None,b:0.836,852.7637682000059,856.76,856.76,342.12,852.7503185999813,0.013459400041028857
S004,2,正式,109,39,Incongruent,,Straight 圖片,Gemini_Generated_Image_63bzk963bzk963bz (3).png,y,0.7834863999742083,1,None,y:0.783,858.7660930000129,862.77,862.77,348.12,858.7503185999813,0.01594489999115467
